"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"1143","Smp_198850",2,0,0,0,2,6,0,8,18
"1144","Smp_266800",15,0,8,8,5,26,1,15,78
"1145","Smp_306630",3,0,2,1,3,2,0,4,15
"1146","Smp_311350",10,0,11,9,6,24,1,13,74
"1147","Smp_242930",6,0,0,7,4,6,0,1,24
"1148","Smp_030500",14,0,16,16,4,30,0,16,96
"1149","Smp_138640",2,2,4,4,1,2,0,5,20
"1150","Smp_315810",0,3,6,2,2,6,0,7,26
"1151","Smp_168660",4,2,4,0,0,0,0,6,16
"1152","Smp_075440",3,3,6,3,4,4,0,7,30
"1153","Smp_075330",4,0,0,6,0,8,0,8,26
"1154","Smp_341200",2,0,0,2,2,2,0,6,14
"1155","Smp_162790",0,0,0,1,2,4,0,4,11
"1156","Smp_075220",1,0,2,0,6,4,0,1,14
"1157","Smp_075210",6,0,4,8,4,8,0,0,30
"1158","Smp_210520",0,0,2,2,2,0,0,4,10
"1159","Smp_129770",0,2,2,6,2,2,0,8,22
"1160","Smp_014050",2,0,1,0,2,2,2,1,10
