"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_023360",9,0,6,8,4,10,6,4
"Smp_023470",12,0,10,7,11,4,1,4
"Smp_023660",6,0,2,0,0,1,2,0
"Smp_023840",3,0,7,5,2,5,0,0
"Smp_024030",104,18,56,111,60,68,14,71
"Smp_024110",8,0,2,14,2,4,2,12
"Smp_024120",2,0,0,2,6,2,2,6
"Smp_024140",28,4,18,28,18,22,6,24
"Smp_024150",2,2,6,2,4,0,2,10
"Smp_024240",4,0,2,2,0,2,2,6
"Smp_024360",4,2,4,0,4,0,0,4
"Smp_024380",7,0,0,2,1,2,0,0
"Smp_024500",2,0,1,8,4,5,0,4
"Smp_024580",2,0,0,5,2,4,0,7
"Smp_024850",18,2,10,12,18,24,0,22
"Smp_024860",0,0,1,2,5,4,0,3
"Smp_024880",19,0,6,22,10,16,2,11
"Smp_024900",140,12,59,105,40,44,24,104
"Smp_025030",8,0,0,16,9,4,2,6
"Smp_025100",11,0,0,6,2,2,2,0
"Smp_025130",0,0,0,4,8,6,0,2
"Smp_025150",2,0,2,8,2,4,2,0
"Smp_025260",4,0,2,0,2,1,1,0
"Smp_025380",6,0,10,4,0,4,6,6
"Smp_025510",2,0,9,2,2,10,0,4
"Smp_025550",4,0,2,3,0,0,0,4
"Smp_025560",12,2,4,2,2,2,3,0
"Smp_025570",32,1,15,13,13,16,4,10
"Smp_025700",4,0,4,2,2,2,0,2
"Smp_025860",8,0,2,0,4,8,0,4
"Smp_026090",5,0,4,2,4,0,0,6
"Smp_026160",9,0,2,9,14,12,4,0
"Smp_026230",4,0,4,2,0,4,0,0
"Smp_026260",0,0,0,8,2,2,2,6
"Smp_026280",2,2,0,0,2,2,0,2
"Smp_026300",17,6,3,4,2,0,0,4
"Smp_026340",2,2,0,4,2,2,0,2
"Smp_026420",10,1,2,6,1,4,0,6
"Smp_026510",4,2,0,0,2,0,2,1
"Smp_026540",1,0,2,1,4,1,1,2
"Smp_026560",21,0,8,26,12,16,4,16
"Smp_026700",7,0,4,3,2,4,0,1
"Smp_026820",5,0,2,4,0,0,1,2
"Smp_026910",2,0,0,0,4,8,2,4
"Smp_026920",42,46,35,54,19,44,8,48
"Smp_026930",2,0,0,0,10,4,0,4
"Smp_027000",4,0,4,0,2,2,0,0
"Smp_027080",4,0,2,2,2,0,2,4
"Smp_027250",6,1,0,24,4,4,3,4
"Smp_027400",12,0,2,6,2,0,0,6
"Smp_027550",20,2,3,12,3,6,7,10
"Smp_027610",10,0,4,10,4,12,0,4
"Smp_027910",26,0,8,3,5,4,0,12
"Smp_027920",12,4,8,14,14,2,4,16
"Smp_028030",5,2,0,2,8,2,4,2
"Smp_028060",3,2,0,6,4,4,0,0
"Smp_028080",2,0,2,0,6,0,0,2
"Smp_028100",4,0,0,4,2,6,0,4
"Smp_028170",2,0,2,4,10,2,0,0
"Smp_028190",2,0,4,4,0,0,0,2
"Smp_028200",0,0,4,4,6,0,0,2
"Smp_028210",2,0,4,7,0,2,0,6
"Smp_028330",6,0,4,4,4,6,0,6
"Smp_028340",4,0,2,4,6,0,0,0
"Smp_028410",4,2,1,3,1,6,0,0
"Smp_028430",1,0,2,4,2,0,0,2
"Smp_028440",16,0,4,6,6,2,0,8
"Smp_028500",22,2,0,30,18,10,2,12
"Smp_028730",0,0,2,4,2,4,0,4
"Smp_028850",2,2,2,3,8,0,0,4
"Smp_028870",5,1,2,0,0,2,0,1
"Smp_028980",2,2,0,4,0,0,2,4
"Smp_029060",2,0,6,6,6,6,0,0
"Smp_029070",6,0,0,11,5,0,2,3
"Smp_029240",14,0,8,12,6,6,0,8
"Smp_029400",1,0,2,4,4,4,0,2
"Smp_029500",1,0,2,4,2,0,0,3
"Smp_029670",104,20,50,112,30,30,15,87
"Smp_029820",6,0,2,0,8,2,0,2
"Smp_029850",6,2,0,4,6,0,2,11
"Smp_029890",3,0,2,6,2,6,0,3
"Smp_029900",0,2,2,2,2,0,0,2
"Smp_030010",0,0,4,4,2,4,2,2
"Smp_030020",6,0,2,4,2,0,0,0
"Smp_030260",1,0,0,10,4,6,0,0
"Smp_030290",2,0,0,2,0,5,0,4
"Smp_030320",0,0,2,6,2,0,2,6
"Smp_030330",2,4,2,2,0,4,0,0
"Smp_030370",8,2,8,4,22,10,0,12
"Smp_030400",7,1,0,2,11,2,2,1
"Smp_030500",14,2,14,36,6,16,2,18
"Smp_030690",4,0,2,2,20,12,0,0
"Smp_030710",5,0,2,6,0,2,0,2
"Smp_030730",52,8,28,47,46,28,6,46
"Smp_030760",6,0,2,2,2,0,4,6
"Smp_030780",4,0,5,8,7,3,2,0
"Smp_030830",16,0,0,10,18,10,4,16
"Smp_030920",8,4,2,16,8,12,4,8
"Smp_031040",6,2,2,6,0,0,0,6
"Smp_031050",8,0,3,6,0,2,0,8
"Smp_031300",4,0,4,4,0,10,0,4
"Smp_031310",7,0,6,8,6,8,0,2
"Smp_031360",2,0,4,3,4,6,8,2
"Smp_031570",14,0,0,8,7,6,4,10
"Smp_031680",4,0,0,0,0,1,2,4
"Smp_031690",2,0,2,12,0,4,0,6
"Smp_031720",2,0,4,0,2,0,4,2
"Smp_031730",4,0,0,4,6,0,2,4
"Smp_031770",6,4,8,9,2,2,0,8
"Smp_031880",4,2,4,2,6,2,2,2
"Smp_031920",6,0,0,0,4,6,2,2
"Smp_032120",4,0,1,3,7,1,0,0
"Smp_032180",8,2,2,8,14,16,6,4
"Smp_032230",4,2,3,12,2,3,1,18
"Smp_032240",4,0,2,4,6,11,2,4
"Smp_032250",4,0,0,0,4,4,0,2
"Smp_032260",10,0,6,14,8,4,0,10
"Smp_032280",4,0,2,0,2,2,0,0
"Smp_032310",4,0,0,2,2,2,2,0
"Smp_032320",8,2,4,2,4,2,4,8
"Smp_032480",2,0,2,6,2,2,0,0
"Smp_032490",19,0,6,3,9,3,2,5
"Smp_032510",4,0,2,10,2,4,4,4
"Smp_032520",0,2,4,0,6,2,0,0
"Smp_032580",4,0,4,2,10,8,0,4
"Smp_032670",64,2,21,49,25,109,6,55
"Smp_032760",24,4,12,18,14,28,4,12
"Smp_032770",2,0,4,3,2,6,0,0
"Smp_032790",43,0,9,16,20,14,3,43
"Smp_032800",0,2,2,2,2,0,0,4
"Smp_032810",2,0,2,6,2,4,0,0
"Smp_032930",21,3,6,9,6,3,0,4
"Smp_033020",4,0,0,2,2,2,0,4
"Smp_033050",2,0,4,4,8,2,2,0
"Smp_033140",4,0,0,0,4,2,0,6
"Smp_033400",12,0,10,10,8,12,0,2
"Smp_033530",9,1,3,7,8,1,0,21
"Smp_033540",4,0,0,4,4,3,0,0
"Smp_033590",4,0,0,6,4,0,2,0
"Smp_033600",2,0,0,2,4,2,0,0
"Smp_033660",4,0,0,4,2,4,1,2
"Smp_033670",2,2,0,0,2,4,0,0
"Smp_033700",2,1,4,2,3,0,0,0
"Smp_033710",15,2,9,8,6,2,2,6
"Smp_033760",8,0,2,6,3,2,2,0
"Smp_033770",0,0,0,4,6,2,0,2
"Smp_033950",10,2,2,4,6,2,0,0
"Smp_034000",2,0,1,9,2,0,0,4
"Smp_034120",5,0,4,12,4,6,2,14
"Smp_034190",8,0,4,10,4,8,2,12
"Smp_034420",2,0,6,4,0,0,0,2
"Smp_034490",4,0,2,16,4,8,0,6
"Smp_034670",2,0,0,0,4,2,0,2
"Smp_034700",4,2,6,10,6,4,4,12
"Smp_034840",0,0,2,2,0,2,2,4
"Smp_034850",0,0,2,6,0,4,2,2
"Smp_034860",6,6,12,16,7,8,2,14
"Smp_034940",10,0,8,2,4,0,0,10
"Smp_034980",4,4,2,0,2,0,0,2
"Smp_035000",2,0,4,0,4,2,0,0
"Smp_035030",2,2,2,6,2,3,2,4
"Smp_035090",6,0,6,0,6,0,0,4
"Smp_035190",0,2,4,2,2,0,0,4
"Smp_035200",36,4,10,46,52,42,14,36
"Smp_035260",0,2,4,6,2,8,0,0
"Smp_035280",10,0,4,0,4,4,0,4
"Smp_035290",10,0,0,14,2,2,2,2
"Smp_035310",9,2,0,4,6,2,2,0
"Smp_035380",0,0,2,2,2,0,2,2
"Smp_035410",8,0,0,6,10,2,0,2
"Smp_035430",4,0,2,0,4,0,0,2
"Smp_035470",0,2,8,4,6,6,0,12
"Smp_035480",3,2,0,7,9,4,0,8
"Smp_035540",25,0,24,10,2,0,0,15
"Smp_035580",2,0,2,0,0,2,4,6
"Smp_035790",4,0,0,2,5,6,0,2
"Smp_035800",8,0,0,0,6,14,0,8
"Smp_036020",18,0,10,19,13,12,6,30
"Smp_036060",3,0,2,1,3,4,0,2
"Smp_036130",3,0,0,8,14,4,0,9
"Smp_036180",4,0,2,2,0,7,4,0
"Smp_036220",10,1,6,14,10,24,0,8
"Smp_036270",28,6,4,14,14,14,0,16
"Smp_036370",58,5,34,46,22,23,2,41
"Smp_036390",16,8,14,32,18,12,3,15
"Smp_036400",4,1,0,0,0,4,0,2
"Smp_037190",25,2,4,17,14,13,6,19
"Smp_037230",2,0,6,2,2,2,0,0
"Smp_037290",14,2,6,4,5,4,1,2
